OECD Principle,Risk domain,Neutral Facet,Brief Description,Relevant Risks,Potential Insight Level
"Inclusive growth, sustainable development and wellbeing",Unsustainable Design & Disregard,Environmental protection,AI development and deployment considering environmental sustainability and climate impact,"The system creates high levels of ""e-waste""",Known
"Inclusive growth, sustainable development and wellbeing",Unsustainable Design & Disregard,Environmental protection,AI development and deployment considering environmental sustainability and climate impact,Deployment leads to AI causing unforeseen environmental consequences,Emergent
"Inclusive growth, sustainable development and wellbeing",Unsustainable Design & Disregard,Environmental protection,AI development and deployment considering environmental sustainability and climate impact,System incentivises environmentally damaging behaviours,Foreseeable
"Inclusive growth, sustainable development and wellbeing",Unsustainable Design & Disregard,Environmental protection,AI development and deployment considering environmental sustainability and climate impact,System [scaling] causes depletion of global physical resources,Foreseeable
"Inclusive growth, sustainable development and wellbeing",Enhancement & Development,Human capability enhancement,AI systems enhancing human skills and enabling new ways of creating value,AI system diminishes human capabilities and skills,Foreseeable
"Human rights and democratic values, including fairness and privacy",Loss of Freedoms & Autonomy,Individual autonomy,Preserving human choice and decision-making authority in human-AI interactions,Human choice is lost through automation,Foreseeable
"Human rights and democratic values, including fairness and privacy",Loss of Freedoms & Autonomy,Individual autonomy,Preserving human choice and decision-making authority in human-AI interactions,The deployed system is coercive or manipulative (not emergent),Known
"Human rights and democratic values, including fairness and privacy",Loss of Freedoms & Autonomy,Individual autonomy,Preserving human choice and decision-making authority in human-AI interactions,The system over-rides human judgment (not emergent),Foreseeable
"Human rights and democratic values, including fairness and privacy",Loss of Freedoms & Autonomy,Individual autonomy,Preserving human choice and decision-making authority in human-AI interactions,Affected people are unable to contest decisions or to challnge objectionable/unwanted representations of themselves in generated content,Foreseeable
"Human rights and democratic values, including fairness and privacy",Loss of Freedoms & Autonomy,Individual freedoms,Protecting fundamental human rights and liberties,The system restricts freedom of unique expression of individuals,Foreseeable
"Human rights and democratic values, including fairness and privacy",Loss of Freedoms & Autonomy,Individual freedoms,Protecting fundamental human rights and liberties,The system interferes with the freedom of association,Foreseeable
