id,oecd_principle,impact_domain,impact_area,impact_area_description,risk_name,risk_description,suggested_insight
1,"Inclusive growth, sustainable development and wellbeing",Sustainability,Environmental protection,AI development and deployment considering environmental sustainability and climate impact,"Creates high levels of ""e-waste""","AI hardware disposal generates excessive electronic waste, harming the environment through toxic materials and resource depletion.",Established
2,"Inclusive growth, sustainable development and wellbeing",Sustainability,Environmental protection,AI development and deployment considering environmental sustainability and climate impact,Unforeseen environmental consequences,AI deployment causes unexpected environmental damage through indirect effects or cascading impacts not anticipated during development.,Novel
3,"Inclusive growth, sustainable development and wellbeing",Sustainability,Environmental protection,AI development and deployment considering environmental sustainability and climate impact,Incentivises environmentally damaging behaviours,"System rewards or encourages user actions that harm the environment, such as excessive consumption or resource waste.",Unsettled
4,"Inclusive growth, sustainable development and wellbeing",Sustainability,Environmental protection,AI development and deployment considering environmental sustainability and climate impact,Scaling causes depletion of global physical resources,"Large-scale AI deployment exhausts critical materials, energy, or other finite resources needed for sustainable development.",Unsettled
5,"Inclusive growth, sustainable development and wellbeing",Enhancement & Development,Human capability enhancement,AI systems enhancing human skills and enabling new ways of creating value,Diminishes human capabilities and skills,"Over-reliance on AI reduces human competencies, causing skill atrophy and decreased ability to perform tasks independently.",Unsettled
6,"Human rights and democratic values, including fairness and privacy",Freedoms & Autonomy,Individual autonomy,Preserving human choice and decision-making authority in human-AI interactions,Human choice is lost through automation,System removes human agency by making decisions without allowing meaningful human input or override options.,Unsettled
7,"Human rights and democratic values, including fairness and privacy",Freedoms & Autonomy,Individual autonomy,Preserving human choice and decision-making authority in human-AI interactions,The deployed system is coercive or manipulative by design,AI uses persuasion techniques or interface design to push users towards specific choices against their best interests.,Established
8,"Human rights and democratic values, including fairness and privacy",Freedoms & Autonomy,Individual autonomy,Preserving human choice and decision-making authority in human-AI interactions,The system over-rides human judgment by design,System dismisses or bypasses human expertise and decision-making in critical situations where human input is essential.,Unsettled
9,"Human rights and democratic values, including fairness and privacy",Freedoms & Autonomy,Individual autonomy,Preserving human choice and decision-making authority in human-AI interactions,Lack of accessible mechanisms for users to dispute AI decisions or correct misrepresentations in generated content about them.,Affected people are unable to contest decisions or to challenge objectionable/unwanted representations of themselves in generated content,Unsettled
10,"Human rights and democratic values, including fairness and privacy",Freedoms & Autonomy,Individual freedoms,Protecting fundamental human rights and liberties,Restricts freedom of unique expression of individuals,System limits personal creativity or self-expression through censorship or narrow content generation parameters.,Unsettled
11,"Human rights and democratic values, including fairness and privacy",Freedoms & Autonomy,Individual freedoms,Protecting fundamental human rights and liberties,Interferes with the freedom of association,"System restricts or monitors social connections, limiting people's ability to freely form relationships or join groups.",Unsettled
12,"Human rights and democratic values, including fairness and privacy",Freedoms & Autonomy,Individual freedoms,Protecting fundamental human rights and liberties,Violates human dignity,"AI treatment of individuals undermines their inherent worth, respect, or fundamental human rights.",Unsettled
13,"Human rights and democratic values, including fairness and privacy",Freedoms & Autonomy,Individual freedoms,Protecting fundamental human rights and liberties,The systems infringes on religious freedoms,"AI restricts religious practices, beliefs, or expression through discrimination or censorship.",Unsettled
14,"Human rights and democratic values, including fairness and privacy",Freedoms & Autonomy,Individual freedoms,Protecting fundamental human rights and liberties,Denies individuals and groups of their cultural rights,"System prevents cultural expression, heritage preservation, or participation in cultural life.",Unsettled
15,"Human rights and democratic values, including fairness and privacy",Privacy,Data control,"Individual control over personal data access,  modification and deletion",People lose sight of their data,Complex data flows and third-party sharing obscure where personal information ends up and how it's monetised.,Established
16,"Human rights and democratic values, including fairness and privacy",Privacy,Data control,"Individual control over personal data access,  modification and deletion",There is no capability for people to delete their sensitive data,"System architecture or nature prevents users removing their personal information, violating data protection principles.",Established
17,"Human rights and democratic values, including fairness and privacy",Privacy,Data control,"Individual control over personal data access,  modification and deletion",Users unable to establish data control,Missing or hidden contact methods prevent users from exercising their data rights effectively.,Established
18,"Human rights and democratic values, including fairness and privacy",Privacy,Data usage practices,Appropriate and ethical use of personal data,People's data gets used beyond original stated purpose,Function creep leads to personal information being repurposed without consent for unrelated applications.,Established
